second,duration,transcript
0.18,4.17,"Every website can be split up into two
parts, the front end and the backend."
4.74,3.99,"The front end is all the visual stuff
you see on the webpage and the backend is"
8.73,4.35,"what saves and manages your data. For
example, if you are on amazon.com,"
13.2,3.03,"the backend would store your
order history, your profile."
16.35,2.88,"It would load search results
and much more. In this video,"
19.23,3.48,"we're going to take a look
at the technologies that
are used in the backend of a"
22.71,3.9,"website and in another video we
explore the front end technologies."
27.15,3.84,"As an example, let's say that we're
on amazon.com and we do some shopping,"
31.17,4.32,"and now we're ready to make an order.
When I click place order, what happens,"
36.51,1.35,we're going to start from the ground up.
38.55,2.19,"Any computer that's
connected to the internet,"
40.95,2.01,"including your computer and my computer,"
43.41,4.74,"can send a message across the internet
to another computer that's also connected"
48.15,2.28,"to the internet.
So to simplify things,"
50.58,2.67,"Amazon has a computer in their
office building somewhere,"
53.73,4.71,"and our computer is going to send a
message continuing our order to that"
58.44,2.31,"Amazon computer. In this scenario,"
60.75,2.94,"the computer that is sending the
message is called the client,"
63.93,3.63,"and the computer that is receiving
the message is called the server."
68.22,2.34,"But before this happens, computers,"
70.57,2.84,"they can't receive messages
from the internet by default."
73.8,4.17,"We have to program them to be able
to receive messages. To do that,"
77.97,2.13,we need a backend programming language.
80.64,4.29,"Almost every programming language has
a feature that turns a computer into a"
84.93,2.31,server and allows it to receive messages.
87.6,4.71,"Popular backend programming languages
are JavaScript, sometimes called node js,"
92.64,3.03,"Python, Ruby, and Java. However,"
95.73,4.05,"using a backend programming language by
itself is actually really difficult and"
99.78,1.71,requires a huge amount of code.
101.88,4.47,"So there are two tools that we use to
help with this. A backend framework and a"
106.35,0.93,"package manager,"
108.21,4.29,"a backend framework helps us create a
server much easier and with a lot less"
112.5,0.833,code.
113.61,3.72,"Each backend programming language has a
few different frameworks to choose from,"
117.69,4.19,"but the most popular ones are
Express JS for JavaScript, Python,"
122.16,4.41,"Django, Rubion Rails, and
Java Spring. In the backend,"
126.57,4.74,"we also use a lot of code that other
people have written called packages to do"
131.31,3.72,"common tasks like doing
calculations, talking to a database,"
135.21,2.46,"and setting up user
login and authentication."
138.21,2.52,"We typically use a lot of
packages in our backend,"
141.0,3.0,"and in order to install and
manage all these packages,"
144.21,2.25,we use something called a package manager.
147.06,1.95,Each language has its own package manager.
149.28,4.5,"The most popular ones are NPM
for JavaScript, PIP for Python,"
153.84,2.94,"bundler for Ruby, and Maven for Java."
157.35,3.36,"These are all the technologies we
need to create our backend server."
161.31,4.32,"The next problem we have is
we need somewhere to save
the data for our website."
165.96,3.96,"Going back to our Amazon example,
data could mean our user data,"
169.98,2.88,"like the login information,
order, history,"
173.1,3.42,"as well as data for all the products
that are being sold on Amazon,"
176.82,1.83,"the descriptions, the ratings, and the."
178.65,2.89,"Reviews. To do this, we use a database."
181.96,2.43,A database helps us store and manage data.
184.93,3.24,"It's just a piece of software that
usually runs on a different computer,"
188.47,3.48,"and we have to do some setups so that
our backend can communicate with the"
191.95,4.53,"database. The most popular
databases are MySQL, Postgres,"
196.48,3.12,"and MongoDB. All right, so
if you're just starting out,"
199.66,2.37,"this is basically all
you need for the backend."
202.39,3.81,"You can build most of your projects
with just a server and a database."
206.56,2.82,"For example, here's how our
Amazon scenario could work."
210.1,2.28,"When the customer places
an order in the front end,"
212.77,3.3,"the front end sends a message
containing the order to the backend."
216.67,4.32,"The backend then saves the order to a
database and sends back a message to the"
220.99,2.76,"front end confirming that
the order was created."
